key,key:fundraiser,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
strategy-31,fundraiser-02,KL37-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://www.lorem-ipsum.org/dolor/sit.html",true
strategy-32,fundraiser-02,KL38-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://www.lorem-ipsum.org/dolor/sit.html#dolor",true
strategy-33,fundraiser-02,KL39-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org?a=1&b=2",true
strategy-34,fundraiser-02,KL40-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org?",true
strategy-35,fundraiser-02,KL41-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org?a",true
strategy-36,fundraiser-02,KL42-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org?a&b",true
strategy-37,fundraiser-02,KL43-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org/",true
strategy-38,fundraiser-02,KL44-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org/a",true
strategy-39,fundraiser-02,KL45-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org/a/b",true
strategy-40,fundraiser-02,KL46-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org/a/b?",true
strategy-41,fundraiser-02,KL47-TESTURL,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","http://example.org/a/b?a&b",true
##Casos positivos para startMoment

strategy-42,fundraiser-02,KL48-TESTDATE,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2000/01/01 00:00","2000/01/01 00:01","https://example.com/europa-2026",true
strategy-61,fundraiser-02,KL48-TESTDATE2,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2000/01/01 00:01","2000/01/01 00:02","https://example.com/europa-2026",true

strategy-62,fundraiser-02,KL48-TESTDATE3,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2024/12/31 23:59","2025/01/01 00:00","https://example.com/europa-2026",true
strategy-63,fundraiser-02,KL48-TESTDATE4,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2025/01/01 00:00","2025/01/01 00:01","https://example.com/europa-2026",true
strategy-64,fundraiser-02,KL49-TESTDATE,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2025/01/01 00:01","2025/01/01 00:02","https://example.com/europa-2026",true

strategy-65,fundraiser-02,KL50-TESTDATE,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2200/12/31 23:58","2200/12/31 23:59","https://example.com/europa-2026",true

## Casos positivos para endMoment
strategy-66,fundraiser-02,KL48-TESTDATE5,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2000/01/01 00:00","2000/01/01 00:01","https://example.com/europa-2026",true

strategy-67,fundraiser-02,KL48-TESTDATE6,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2024/12/31 23:58","2024/12/31 23:59","https://example.com/europa-2026",true
strategy-68,fundraiser-02,KL48-TESTDATE7,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2024/12/31 23:59","2025/01/01 00:00","https://example.com/europa-2026",true
strategy-69,fundraiser-02,KL49-TESTDATE2,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2025/01/01 00:00","2025/01/01 00:01","https://example.com/europa-2026",true

strategy-46,fundraiser-02,KL52-TESTDATE,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2200/12/31 23:57","2200/12/31 23:58","https://example.com/europa-2026",true
strategy-47,fundraiser-02,KL53-TESTDATE,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2200/12/31 23:58","2200/12/31 23:59","https://example.com/europa-2026",true

##Casos positivos para ticker

strategy-48,fundraiser-02,AA00-ABCDE,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-49,fundraiser-02,ZZ99-ABCDEF,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-50,fundraiser-02,ZY99-ABCDEFGHI,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-51,fundraiser-02,AB00-ABCDEFGHIJ,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-52,fundraiser-02,FF06-00000,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-53,fundraiser-02,TR04-9999999999,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-54,fundraiser-02,OP90-55555555,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-55,fundraiser-02,LM11-A5K3BOHE3,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-56,fundraiser-02,GA22-gwergas,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-57,fundraiser-02,VC33-zzzzzzz,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-58,fundraiser-02,ZZ99-dhgh_123G,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
strategy-59,fundraiser-02,ZZ99-test___,"Expansión Europa 2026","Estrategia para ampliar operaciones en Europa occidental","2026/06/01 10:00","2027/06/01 10:00","https://example.com/europa-2026",true
